Phân loại	Mã sản phẩm (SKU)	Tên sản phẩm	Thương hiệu (Brand)	Danh mục (Category)	Giá bán lẻ	Giá sau tích điểm	Số lượng tồn kho (Inventory)	Cảnh báo tồn kho tối thiểu	Xuất xứ	Đánh giá (Rating)	Lượt đánh giá (Review Count)	Thành phần	Công dụng	Hướng dẫn sử dụng	Thuộc tính đặc biệt / Quy cách đóng gói	Nhãn sản phẩm	Hình ảnh	Trạng thái
Vệ sinh	VS-CAT-04	Cát vệ sinh đậu nành Tofu hương trà xanh hữu cơ	Cature	Vệ sinh	135.000	120.000	150	15	Trung Quốc	4.8	345	"100% bã đậu nành tự nhiên nguyên chất, tinh bột bắp hữu cơ, chiết xuất trà xanh kháng khuẩn khử mùi, chất kết dính thực vật hoàn toàn lành tính."	"Thấm hút chất thải cực nhanh và vón cục chặt chỉ trong 3 giây sau khi tiếp xúc với chất lỏng. Khử mùi hôi amoniac vượt trội nhờ tinh chất trà xanh tự nhiên. Không bụi 99.9%, bảo vệ hệ hô hấp cho thú cưng và chủ nuôi. Đặc biệt có thể xả trực tiếp vào bồn cầu."	"Đổ cát vào khay vệ sinh sạch sẽ với độ dày từ 5-7cm để đạt hiệu quả thấm hút tốt nhất. Sử dụng xẻng xúc bỏ các cục cát vón và chất thải rắn hàng ngày. Đổ thêm cát mới để duy trì độ dày tiêu chuẩn. Có thể tiêu hủy bằng cách xả từng lượng nhỏ trong bồn cầu."	Túi hút chân không 6L (~2.5kg), đường kính hạt cát siêu nhỏ 2mm hạn chế bám kẽ chân mèo	Bán chạy	assets/images/products/vs-cat-04.webp	Còn hàng
Vệ sinh	VS-MAYHUT-05	Máy hút lông thú cưng rụng trên quần áo sofa cầm tay	Neabot	Vệ sinh	850.000	790.000	0	2	Trung Quốc	4.6	28	"Vỏ máy làm từ nhựa ABS chịu lực tốt, động cơ hút chân không chổi than công suất cao, bộ lọc HEPA lọc bụi mịn, pin sạc Lithium dung lượng lớn."	"Hút sạch lông rụng, bụi mịn và gàu da của thú cưng bám dính trên các bề mặt vải như ghế sofa, nệm giường, quần áo, thảm trải sàn. Giúp làm sạch không gian sống nhanh chóng, ngăn ngừa các tác nhân gây dị ứng đường hô hấp cho gia đình."	"Sạc đầy pin cho máy bằng cáp sạc USB đi kèm. Bật nút nguồn, chọn chế độ hút phù hợp (Eco hoặc Max). Rà nhẹ nhàng đầu hút chứa chổi quét lên bề mặt vải cần làm sạch. Sau khi hút xong, nhấn nút mở hộp bụi để đổ lông rụng và vệ sinh màng lọc HEPA."	Thiết kế cầm tay không dây siêu nhẹ 0.8kg, cổng sạc Type-C tiện lợi, lực hút 8000Pa mạnh mẽ	Mới	assets/images/products/vs-mayhut-05.webp	Hết hàng
Vệ sinh	VS-MAY-06	Máy dọn rác vệ sinh tự động thông minh cho mèo Petkit Pura Max	Petkit	Vệ sinh	7.500.000	7.200.000	5	1	Trung Quốc	4.9	46	"Nhựa ABS chịu lực cao, hệ thống cảm biến hồng ngoại thông minh x6, cảm biến trọng lượng x4, màng lọc phân chuyên dụng, bình xịt khử mùi tự động xịt tinh dầu."	"Tự động dọn sạch phân và chất thải vón cục của mèo sau mỗi lần đi vệ sinh, gom vào khay rác kín giúp gia đình hoàn toàn thoát khỏi việc xúc phân thủ công hàng ngày và loại bỏ mùi hôi thối trong nhà."	"Đặt máy ở mặt phẳng cứng vững. Tải ứng dụng Petkit, liên kết máy qua Wifi. Đổ cát đậu nành hạt nhỏ (<2.5mm) hoặc cát đất sét vào lòng máy. Thay túi đựng rác ở khay chứa sau mỗi 5-7 ngày tùy số lượng mèo."	Dung tích cabin lớn 76L thích hợp mèo từ 1.5 - 10kg, bình xịt khử mùi Pura Air thông minh tích hợp	Cao cấp	assets/images/products/vs-may-06.webp	Còn hàng
Vệ sinh	VS-XIT-07	Xịt khử mùi diệt khuẩn sinh học hương oải hương PawPal Clean	PawPal	Vệ sinh	115.000	99.000	55	10	Việt Nam	4.8	112	"Nước điện hóa ion bạc (Ag+), cồn sinh học từ mía đường, enzym phân hủy sinh học, tinh dầu hoa oải hương (Lavender) tự nhiên nguyên chất."	"Tiêu diệt 99.9% vi khuẩn, nấm mốc gây mùi hôi khó chịu trên cơ thể thú cưng, khay vệ sinh, nệm ngủ, chuồng quây. Phân hủy tận gốc phân tử mùi amoniac thay vì chỉ che phủ mùi tạm thời."	"Xịt trực tiếp lên khay vệ sinh của mèo sau khi dọn, xịt vào nệm, lồng chuồng từ khoảng cách 20-30cm. Có thể xịt trực tiếp lên lông thú cưng (tránh vùng mắt) để khử mùi cấp tốc rồi dùng khăn lau khô."	Chai nhựa vòi xịt phun sương mịn 350ml, hương hoa Lavender dịu nhẹ thơm mát thư giãn tinh thần	Mới	assets/images/products/vs-xit-07.webp	Còn hàng
Vệ sinh	VS-TA-08	Tã quần vệ sinh siêu thấm hút cho chó đực cái Dono	Dono	Vệ sinh	160.000	145.000	40	5	Trung Quốc	4.7	73	"Bông xơ tự nhiên, hạt siêu thấm hút SAP nhập khẩu Nhật Bản, màng đáy PE thoáng khí chống tràn nước, băng keo dán velcro thông minh tái sử dụng nhiều lần."	"Giải pháp vệ sinh hoàn hảo cho cún cưng khi đi du lịch, đi tàu xe, cún cái trong kỳ kinh nguyệt (salơ), cún đực có thói quen đánh dấu lãnh thổ trong nhà, hoặc cún già mất kiểm soát tiểu tiện."	"Mở tã, xỏ đuôi cún qua lỗ tròn khoét sẵn ở đuôi tã. Quấn tã ôm sát hông cún đùi sau, kéo hai miếng keo dán cố định chặt ở hai bên hông sao cho tã vừa khít không bị lỏng lẻo khi cún chạy nhảy."	Bịch 20 cái, size S (cho chó từ 2-5kg, vòng bụng 25-40cm), thấm hút khóa chất lỏng lên đến 800ml	Phổ biến	assets/images/products/vs-ta-08.webp	Còn hàng
Vệ sinh	VS-CAT-19	Cát tắm dưỡng lông hương táo dịu mát cho Hamster	Jolly	Vệ sinh	65.000	59.000	100	10	Trung Quốc	4.7	94	"100% cát thạch anh khai thác tự nhiên được xử lý nhiệt ở nhiệt độ cao, tinh dầu chiết xuất từ táo tây thơm dịu kháng khuẩn da."	"Giúp Hamster tắm khô loại bỏ bã nhờn, dầu thừa trên da lông, ngăn ngừa các bệnh ghẻ nấm do độ ẩm cao. Tạo mùi hương táo tươi mát lưu hương dễ chịu trên cơ thể bé."	"Đổ cát tắm vào phòng tắm chuyên dụng của Hamster cao khoảng 1-2cm. Hamster sẽ tự lăn lộn tắm khô tự nhiên. Thay cát tắm mới sau 2-3 ngày hoặc khi phát hiện cát bị bám bẩn nước tiểu."	Túi zip 1kg hạt cát siêu nhỏ bo tròn không sắc nhọn, không tạo bụi bẩn, hương thơm mát dịu	Bán chạy	assets/images/products/vs-cat-19.webp	Còn hàng
Phụ kiện	PK-BALO-05	Balo phi hành gia trong suốt vận chuyển thú cưng	OEM	Phụ kiện	250.000	225.000	40	5	Trung Quốc	4.5	99	"Nhựa PC trong suốt chịu lực cao chống va đập, vải Oxford cao cấp chống thấm nước, các lỗ thông khí bằng kim loại và lưới hai bên hông."	"Cung cấp không gian vận chuyển thú cưng an toàn và thoáng mát khi đi ra ngoài, đi thú y hoặc đi dạo. Mặt kính nhựa trong suốt tạo tầm nhìn rộng rãi giúp thú cưng dễ dàng quan sát thế giới bên ngoài, từ đó giảm cảm giác sợ hãi, lo lắng khi di chuyển."	"Mở khóa balo kéo hết cỡ, đặt tã lót mỏng xuống đáy nếu sợ bé tè. Cho thú cưng vào trong nhẹ nhàng, cài móc khóa an toàn trong balo vào vòng cổ của bé để tránh bé nhảy vọt ra ngoài khi mở balo. Kéo khóa lại chắc chắn và đeo lên vai."	Kích thước 42x33x25cm, tải trọng tối đa cho pet < 7kg (mèo) hoặc < 5kg (chó), màu vàng tươi	Phổ biến	assets/images/products/pk-balo-05.webp	Còn hàng
Phụ kiện	PK-NEM-06	Nệm vuông lông cừu êm ái ấm áp cho chó mèo	Pidan	Phụ kiện	320.000	290.000	15	3	Trung Quốc	4.9	47	"Mặt trên bằng vải bông lông cừu nhân tạo siêu mềm mại, lõi nhồi bông PP xoắn 3D đàn hồi cao chống xẹp lún, mặt đáy bằng vải Oxford chống trượt và chống thấm ẩm."	"Tạo không gian ngủ ấm áp, êm ái, nâng niu giấc ngủ cho chó mèo. Độ nâng đỡ tối ưu từ bông PP giúp bảo vệ hệ xương khớp non nớt hoặc thoái hóa của thú cưng, giúp giảm thiểu căng thẳng và mang lại cảm giác an toàn như được mẹ ôm ấp."	"Đặt nệm ở góc nhà khô ráo, thoáng mát, tránh ánh nắng trực tiếp hoặc nơi ẩm ướt. Định kỳ hàng tuần đem nệm ra phơi nắng để khử trùng. Khi giặt, có thể giặt máy ở chế độ nhẹ nhàng với túi giặt và nước giặt trung tính, không sấy nhiệt độ cao."	Kích thước 50x50x12cm, màu xám ghi sang trọng, phù hợp cho chó mèo có cân nặng dưới 7kg	Khuyên dùng	assets/images/products/pk-nem-06.webp	Còn hàng
Phụ kiện	PK-CHUONG-07	Chuồng quây sắt lắp ghép decor sơn tĩnh điện	OEM	Phụ kiện	420.000	380.000	8	2	Trung Quốc	4.7	36	"Các tấm lưới bằng sắt phi dày dặn được phủ lớp sơn tĩnh điện chống rỉ sét bong tróc, các chốt nối bằng nhựa ABS cứng lực chống nứt vỡ."	"Quây vùng không gian an toàn cho thú cưng chơi đùa, nghỉ ngơi khi chủ nuôi đi vắng, ngăn thú cưng cắn phá đồ đạc trong nhà. Thiết kế lắp ghép thông minh cho phép tự do thay đổi kích thước, kiểu dáng chuồng theo diện tích phòng thực tế."	"Lên ý tưởng hình dáng chuồng (quây vuông, quây chữ L, quây 2 tầng). Lắp các tấm sắt vào rãnh chốt nhựa ABS, dùng búa gỗ nhỏ đi kèm gõ nhẹ dứt khoát vào các khớp nối để cố định chắc chắn. Có thể mua thêm các tấm ghép để mở rộng diện tích."	Bộ gồm 12 tấm lưới sắt kích thước 35x35cm và 24 chốt nhựa kết nối, có cửa mở tiện lợi, màu đen	Đề xuất	assets/images/products/pk-chuong-07.webp	Còn hàng
Phụ kiện	PK-DOCHOI-08	Đồ chơi tháp bóng 3 tầng kích thích vận động cho mèo	Petstages	Phụ kiện	180.000	165.000	50	5	Mỹ	4.8	184	"Nhựa PP cao cấp nguyên sinh chống trầy xước không chứa BPA, 3 quả bóng nhựa có chuông lục lạc phát ra âm thanh nhỏ bên trong, đệm cao su đáy."	"Giúp mèo giải trí tự lập, giảm căng thẳng stress hiệu quả khi chủ vắng nhà. Kích thích bản năng săn mồi, vồ bắt tự nhiên của mèo thông qua chuyển động tròn của bóng, tăng cường vận động thể chất giúp giảm nguy cơ béo phì ở mèo nuôi trong nhà."	"Đặt tháp bóng trên nền nhà phẳng. Dùng tay gạt nhẹ các quả bóng chạy vòng quanh các tầng để tạo sự chú ý cho mèo. Mèo sẽ tự dùng chân gạt bóng qua các khe hở. Thích hợp cho hộ gia đình nuôi nhiều mèo chơi cùng nhau."	Tháp nhựa 3 tầng màu cam nổi bật, đường kính đáy 25cm, có 3 quả bóng màu sắc chuyển động mượt mà	Bán chạy	assets/images/products/pk-dochoi-08.webp	Còn hàng
Phụ kiện	PK-AO-09	Áo nỉ sọc kẻ giữ ấm thời trang cho cún miu	PetStyle	Phụ kiện	95.000	85.000	4	5	Trung Quốc	4.6	19	"Vải nỉ bông tự nhiên co giãn tốt, lớp lót bông mịn ấm áp, phần bo cổ và tay áo làm từ thun bo gân co giãn mềm mại không gây bó siết da thú cưng."	"Giúp giữ ấm cơ thể hiệu quả cho chó mèo vào mùa đông lạnh hoặc khi nằm phòng điều hòa lạnh, hạn chế các bệnh cảm lạnh, viêm phổi. Làm đẹp thời trang độc đáo cho thú cưng khi đi dạo phố, chụp hình check-in cùng chủ nuôi."	"Chọn size áo phù hợp dựa trên số đo vòng ngực và cân nặng của bé. Nhẹ nhàng xỏ hai chân trước của thú cưng vào ống tay áo, sau đó kéo cổ áo qua đầu và vuốt thẳng thân áo dọc theo lưng. Nên giặt bằng tay để tránh làm xù lông nỉ."	Size M (vòng ngực 38-42cm, chiều dài lưng 28-32cm, cho pet 3-5kg), họa tiết kẻ sọc đỏ trắng thời thượng	Mới	assets/images/products/pk-ao-09.webp	Còn hàng
Phụ kiện	PK-VONG-10	Vòng cổ chuông dâu tây dễ thương cho chó mèo	OEM	Phụ kiện	35.000	30.000	85	10	Trung Quốc	4.4	58	"Dây đeo làm từ sợi vải dù tơ mềm mại chống cọ xát tổn thương da cổ, khóa cài tháo nhanh bằng nhựa cứng, chuông đồng hình quả dâu tây."	"Giúp định vị, nhận biết vị trí của thú cưng dễ dàng nhờ tiếng chuông leng keng vui tai mỗi khi bé di chuyển. Làm điệu trang trí bắt mắt dễ thương cho bé cưng thêm phần nổi bật, có khoen kim loại để móc thêm thẻ tên hoặc dây dắt."	"Đeo vòng vào cổ thú cưng, điều chỉnh độ dài dây bằng khóa trượt sao cho vòng vừa khít cổ nhưng vẫn đảm bảo độ rộng thoải mái (đút vừa 2 ngón tay vào giữa vòng cổ và cổ bé). Bấm khóa cài nghe tiếng 'tạch' để cố định."	Chiều dài dây điều chỉnh linh hoạt từ 15-30cm, độ rộng dây 1cm, họa tiết quả dâu tây ngọt ngào	Phổ biến	assets/images/products/pk-vong-10.webp	Còn hàng
